player1;player2;winner;score
65;47;65;{'player_1': 2, 'player_2': 0}
79;9;9;{'player_1': 1, 'player_2': 2}
47;95;95;{'player_1': 0, 'player_2': 2}
66;3;66;{'player_1': 2, 'player_2': 1}
70;29;29;{'player_1': 1, 'player_2': 2}
68;96;68;{'player_1': 2, 'player_2': 1}
22;42;42;{'player_1': 1, 'player_2': 2}
68;100;68;{'player_1': 2, 'player_2': 0}
19;78;78;{'player_1': 0, 'player_2': 2}
83;38;83;{'player_1': 2, 'player_2': 0}
60;47;47;{'player_1': 1, 'player_2': 2}
46;98;98;{'player_1': 1, 'player_2': 2}
73;92;92;{'player_1': 0, 'player_2': 2}
22;47;22;{'player_1': 2, 'player_2': 0}
43;71;71;{'player_1': 0, 'player_2': 2}
31;22;22;{'player_1': 0, 'player_2': 2}
84;80;84;{'player_1': 2, 'player_2': 1}
2;20;2;{'player_1': 2, 'player_2': 1}
88;58;58;{'player_1': 0, 'player_2': 2}
15;92;92;{'player_1': 0, 'player_2': 2}
94;90;94;{'player_1': 2, 'player_2': 0}
80;73;73;{'player_1': 1, 'player_2': 2}
95;71;71;{'player_1': 0, 'player_2': 2}
67;43;67;{'player_1': 2, 'player_2': 0}
47;88;47;{'player_1': 2, 'player_2': 0}
54;81;54;{'player_1': 2, 'player_2': 1}
37;83;37;{'player_1': 2, 'player_2': 1}
72;50;50;{'player_1': 0, 'player_2': 2}
78;33;78;{'player_1': 2, 'player_2': 1}
73;93;93;{'player_1': 0, 'player_2': 2}
55;21;55;{'player_1': 2, 'player_2': 1}
96;75;75;{'player_1': 1, 'player_2': 2}
22;70;22;{'player_1': 2, 'player_2': 1}
30;61;30;{'player_1': 2, 'player_2': 0}
72;77;77;{'player_1': 0, 'player_2': 2}
95;86;95;{'player_1': 2, 'player_2': 0}
34;33;34;{'player_1': 2, 'player_2': 1}
68;67;68;{'player_1': 2, 'player_2': 1}
39;96;96;{'player_1': 1, 'player_2': 2}
